annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2017;53;Bretagne;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;75;Nouvelle-Aquitaine;Production nucléaire (GWh);42200.0;Nucléaire;42200000.0;Non-Renouvelable
2017;76;Occitanie;Production nucléaire (GWh);17768.0;Nucléaire;17768000.0;Non-Renouvelable
2019;76;Occitanie;Production nucléaire (GWh);16952.0;Nucléaire;16952000.0;Non-Renouvelable
2021;76;Occitanie;Production nucléaire (GWh);14815.0;Nucléaire;14815000.0;Non-Renouvelable
2022;76;Occitanie;Production nucléaire (GWh);12144.0;Nucléaire;12144000.0;Non-Renouvelable
2016;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);74982.0;Nucléaire;74982000.0;Non-Renouvelable
2021;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;24;Centre-Val de Loire;Production nucléaire (GWh);65754.0;Nucléaire;65754000.0;Non-Renouvelable
2021;24;Centre-Val de Loire;Production nucléaire (GWh);68678.0;Nucléaire;68678000.0;Non-Renouvelable
2023;24;Centre-Val de Loire;Production nucléaire (GWh);56770.0;Nucléaire;56770000.0;Non-Renouvelable
2017;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2020;28;Normandie;Production nucléaire (GWh);42033.0;Nucléaire;42033000.0;Non-Renouvelable
2023;28;Normandie;Production nucléaire (GWh);54272.0;Nucléaire;54272000.0;Non-Renouvelable
2018;32;Hauts-de-France;Production nucléaire (GWh);34567.0;Nucléaire;34567000.0;Non-Renouvelable
2020;32;Hauts-de-France;Production nucléaire (GWh);32606.0;Nucléaire;32606000.0;Non-Renouvelable
2022;32;Hauts-de-France;Production nucléaire (GWh);28185.0;Nucléaire;28185000.0;Non-Renouvelable
